fromaccount	toaccount	syscode	timestamp	amount
E71810	1000095	22	2014-09-01 11:27:39	17
B78761	1000095	64	2014-09-01 11:27:39	35
E65677	1000095	64	2014-09-01 11:28:05	200
D59966	1000016	28	2014-09-01 11:29:30	540
A79503	1000016	28	2014-09-01 11:30:03	540
E55762	1000005	28	2014-09-01 11:30:05	700
B58813	1000005	28	2014-09-01 11:31:33	700
E68286	1000143	81	2014-09-01 11:32:21	600
E78313	1000016	28	2014-09-01 11:32:36	300
D35369	1000016	28	2014-09-01 11:32:32	300
C66736	1000095	64	2014-09-01 11:32:51	12
E33983	1000016	28	2014-09-01 11:32:58	2740
C72447	1000095	64	2014-09-01 11:33:05	16
D65417	1000095	64	2014-09-01 11:33:50	84
A42568	1000005	28	2014-09-01 11:33:54	950
A42568	1000005	28	2014-09-01 11:34:14	950
A65015	1000095	22	2014-09-01 11:34:17	65
D77816	1000005	28	2014-09-01 11:34:05	1300
D45325	1000005	28	2014-09-01 11:34:12	750
A78146	1000005	28	2014-09-01 11:34:39	750
D75629	1000016	28	2014-09-01 11:34:39	1280
B62268	1000005	28	2014-09-01 11:34:56	800
A25309	1000016	28	2014-09-01 11:35:15	650
A71874	1000016	28	2014-09-01 11:35:21	740
E69116	1000095	22	2014-09-01 11:35:51	16
C66736	1000095	64	2014-09-01 11:35:58	40
C69416	1000016	28	2014-09-01 11:36:52	920
E71810	1000095	22	2014-09-01 11:37:00	49
A64585	1000005	28	2014-09-01 11:37:15	950
E45920	1000005	28	2014-09-01 11:37:19	950
C74090	1000095	22	2014-09-01 11:37:33	200
B78265	1000095	64	2014-09-01 11:37:25	40
B72232	1000016	28	2014-09-01 11:37:41	300
B48115	1000016	28	2014-09-01 11:38:06	880
A64522	1000095	64	2014-09-01 11:38:15	193
B79738	1000005	28	2014-09-01 11:38:17	900
B79738	1000005	28	2014-09-01 11:38:29	950
D79756	1000095	22	2014-09-01 11:38:43	174
C77143	1000095	22	2014-09-01 11:38:58	3
D17548	1000016	28	2014-09-01 11:39:03	350
E64615	1000095	22	2014-09-01 11:39:14	40
B30289	1000005	28	2014-09-01 11:39:28	1250
C29634	1000095	64	2014-09-01 12:55:47	73
B52391	1000095	22	2014-09-01 12:57:27	97
C76379	1000095	22	2014-09-01 12:58:49	97
B33376	1000095	22	2014-09-01 12:59:37	200
B47840	1000095	22	2014-09-01 13:05:27	91
E27653	1000016	28	2014-09-01 13:08:03	380
C32535	1000095	22	2014-09-01 13:08:15	172
C15606	1000095	64	2014-09-01 13:09:17	70
C66773	1000016	28	2014-09-01 13:22:30	200
D70750	1000016	28	2014-09-01 13:22:51	500
C71255	1000016	28	2014-09-01 13:23:00	1240
E77764	1000016	28	2014-09-01 13:22:49	400
C75126	1000016	28	2014-09-01 13:23:13	1480
B78733	1000016	28	2014-09-01 13:23:16	1810
